REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK,AGE
A6-EQM,Boeing 777-31HER,F6C38W24Y256,29 Jun 2018,,7.7 Years
A6-EQN,Boeing 777-31HER,F6C38W24Y256,3 Aug 2018,,7.6 Years
A6-EQO,Boeing 777-300ER,F6C38W24Y256,28 Sep 2018,,7.5 Years
A6-EQP,Boeing 777-300ER,F6C38W24Y256,30 Nov 2018,,7.4 Years
A6-EZA,Boeing 777-9,,On Order,,
A6-EZB,Boeing 777-9,,On Order,,
A6-EZC,Boeing 777-9,,On Order,,
A6-EZD,Boeing 777-9,,On Order,,
A6-EZE,Boeing 777-9,,On Order,,
A6-EZF,Boeing 777-9,,On Order,,
A6-EZG,Boeing 777-9,,On Order,,
A6-EZL,Boeing 777-9,,On Order,,
A6-EZM,Boeing 777-9,,On Order,,
A6-EZO,Boeing 777-9,,On Order,,
A6-EZT,Boeing 777-9,,On Order,,
A6-,Boeing 777-9,,On Order,,
A6-,Boeing 777-9,,On Order,,
A6-,Boeing 777-9,,On Order,,
A6-,Boeing 777-9,,On Order,,
A6-EFM,Boeing 777-F1H,Cargo,18 Oct 2013,lsd,12.4 Years
A6-EFN,Boeing 777-F1H,Cargo,25 Jun 2014,lsd,11.7 Years
A6-EFO,Boeing 777-F1H,Cargo,31 Oct 2014,"Parked / Maintenance, lsd",11.4 Years
A6-EFS,Boeing 777-F1H,Cargo,31 Aug 2015,lsd,10.6 Years
A6-EFT,Boeing 777-F,Cargo,26 May 2022,,3.9 Years
A6-EFU,Boeing 777-F,Cargo,30 Jun 2022,,3.7 Years
A6-EFV,Boeing 777-F,Cargo,16 Aug 2024,,1.6 Years
A6-EFW,Boeing 777-F,Cargo,20 Nov 2024,,1.4 Years
A6-EFX,Boeing 777-F,Cargo,2 May 2025,,1 Years
A6-EFY,Boeing 777-F,Cargo,21 Apr 2025,,1 Years
A6-EFZ,Boeing 777-F,Cargo,8 Aug 2025,,0.7 Years
A6-EWK,Boeing 777-F,Cargo,On Order,Brand new,
A6-EWL,Boeing 777-F,Cargo,On Order,,
A6-,Boeing 777-F,Cargo,On Order,,
A6-,Boeing 777-F,Cargo,On Order,,
A6-,Boeing 777-F,Cargo,On Order,,
