REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK,AIRCRAFT NAME,AGE
F-GTAT,Airbus A321-212,CY212,27 Jun 2019,lsd,Aurillac W,18 Years
F-GTAU,Airbus A321-212,CY200,27 Feb 2009,,Beaune W,17 Years
F-GTAY,Airbus A321-212,CY200,30 Mar 2010,lsd,Dax W,16 Years
F-GTAZ,Airbus A321-212,CY200,23 Nov 2011,lsd,Saint-Quentin W,14.3 Years
F-GZCA,Airbus A330-203,C36W21Y167,20 Dec 2001,Parked at LDE,,24.5 Years
F-GZCF,Airbus A330-203,C36W21Y167,28 Jun 2002,lsd,Avignon W,23.7 Years
F-GZCG,Airbus A330-203,C36W21Y167,20 Dec 2002,,Saint-Nazaire W,23.4 Years
F-GZCI,Airbus A330-203,C36W21Y167,20 Dec 2002,Parked / Maintenance,,23.4 Years
F-GZCK,Airbus A330-203,C36W21Y167,4 Mar 2003,,Brest W,23.1 Years
F-GZCM,Airbus A330-203,C36W21Y167,30 Jan 2004,,Valençay W,22.1 Years
F-GZCN,Airbus A330-203,C36W21Y167,30 Mar 2004,"Parked at LDE, lsd",Laval W,22 Years
F-GZCO,Airbus A330-203,C36W21Y167,4 Apr 2005,,,21 Years
F-HTYA,Airbus A350-941,C34W24Y266,18 Sep 2019,,Toulouse W,6.5 Years
F-HTYB,Airbus A350-941,C34W24Y266,29 Oct 2019,,Lyon W,6.4 Years
F-HTYC,Airbus A350-941,C34W24Y266,30 Nov 2019,,Saint Denis de La Reunion W,6.3 Years
F-HTYD,Airbus A350-941,C34W24Y266,4 Feb 2020,Parked / Maintenance,Nice W,6.1 Years
F-HTYE,Airbus A350-941,C34W24Y266,6 May 2020,,Bordeaux W,5.9 Years
F-HTYF,Airbus A350-941,C34W24Y266,30 Jun 2020,,Marseille W,5.7 Years
F-HTYG,Airbus A350-941,C34W24Y266,19 Mar 2021,lsd,Reims W,5.1 Years
F-HTYH,Airbus A350-941,C34W24Y266,7 Apr 2021,lsd,Dijon W,5 Years
