REG,AIRCRAFT TYPE,CONFIG,DELIVERED,REMARK,AIRCRAFT NAME,AGE
VT-ANW,Boeing 787-8 Dreamliner,C18Y238,7 Nov 2016,,,9.4 Years
VT-ANX,Boeing 787-8 Dreamliner,C18Y238,9 Jan 2017,,,9.2 Years
VT-ANY,Boeing 787-8 Dreamliner,C18Y241,11 Jul 2017,,,8.7 Years
VT-ANZ,Boeing 787-8 Dreamliner,C18Y241,23 Aug 2017,,,8.6 Years
VT-NAA,Boeing 787-8 Dreamliner,C18Y241,30 Aug 2017,,,8.6 Years
VT-NAC,Boeing 787-8 Dreamliner,C18Y241,10 Oct 2017,,,8.4 Years
VT-AWA,Boeing 787-9 Dreamliner,C30W28Y238,9 Jan 2026,,,0.5 Years
VT-TSD,Boeing 787-9 Dreamliner,C30W21Y248,12 Nov 2024,,,6.1 Years
VT-TSE,Boeing 787-9 Dreamliner,C30W21Y248,12 Nov 2024,,,5.9 Years
VT-TSH,Boeing 787-9 Dreamliner,C30W21Y248,12 Nov 2024,lsd,,5.2 Years
VT-TSN,Boeing 787-9 Dreamliner,C30W21Y248,12 Nov 2024,,,5.4 Years
VT-TSO,Boeing 787-9 Dreamliner,C30W21Y248,12 Nov 2024,lsd,,4.6 Years
VT-TSP,Boeing 787-9 Dreamliner,C30W21Y248,12 Nov 2024,lsd,,3 Years
VT-,Boeing 787-9 Dreamliner,C30W28Y238,On Order,,,
VT-,Boeing 787-9 Dreamliner,C30W28Y238,On Order,,,
VT-,Boeing 787-9 Dreamliner,C30W28Y238,On Order,,,
VT-,Boeing 787-9 Dreamliner,C30W28Y238,On Order,,,
